26,0,2,2,3,3,3,3,3,19,3
48,0,2,3,3,3,1,2,1,15,1
51,0,3,3,3,3,1,1,2,16,4
55,0,2,3,3,3,1,0,2,14,4
67,1,0,3,2,2,2,3,1,13,4
23,1,1,2,1,1,1,0,0,6,8
50,0,3,2,3,3,1,3,2,17,4
17,0,1,2,1,1,1,0,1,7,3
65,0,3,3,3,3,2,3,0,17,1
59,1,2,3,2,2,2,0,1,12,6
32,0,2,2,2,2,1,0,0,9,1
39,0,2,3,1,2,1,3,0,12,1
63,0,2,2,3,3,3,0,1,14,1
31,0,3,3,3,3,1,3,2,18,3
45,0,3,3,0,3,0,0,2,11,1
35,1,2,3,1,2,2,0,2,12,3
29,0,2,3,1,1,1,0,3,11,3
50,0,3,3,3,3,2,3,0,17,4
34,0,2,2,2,3,3,3,2,17,4
45,0,2,0,1,1,1,0,2,7,4
24,1,3,1,3,2,2,3,1,15,3
32,0,2,3,2,3,1,0,0,11,4
36,0,2,0,2,3,1,3,1,12,1
31,0,2,2,1,2,2,0,1,10,1
38,0,2,3,2,3,1,0,0,11,4
31,0,3,0,0,0,2,0,2,7,3
47,1,3,2,3,3,2,3,2,18,1
47,1,3,2,3,3,3,3,3,20,4
27,0,3,3,3,3,2,3,0,17,3
38,0,3,1,3,3,2,0,3,15,4
35,1,1,1,0,1,1,3,0,7,4
44,1,2,3,0,0,1,0,1,7,1
51,1,3,3,3,3,2,3,3,20,8
30,0,3,3,2,2,3,1,1,15,4
38,0,3,2,3,3,1,3,1,16,4
33,0,3,3,3,3,3,3,3,21,4
32,0,3,3,3,3,2,0,3,17,6
25,1,3,2,2,2,1,2,0,12,3
50,0,3,3,3,3,1,3,0,16,4
26,0,3,1,2,2,1,0,2,11,3
41,1,2,3,2,3,2,2,1,15,1
28,0,1,0,2,0,1,0,1,5,8
33,1,1,0,0,0,1,0,0,2,3
48,0,2,2,1,1,1,0,2,9,4
22,0,2,3,2,1,2,0,1,11,4
20,0,2,3,0,2,1,0,0,8,3
59,1,1,2,3,3,2,0,1,12,4
56,0,1,2,2,2,2,0,0,9,4
51,0,2,2,2,0,1,3,0,10,4
20,0,3,3,1,1,2,2,1,13,7
54,0,1,1,0,0,1,0,0,3,3
50,0,1,2,1,0,1,0,1,6,1
21,0,3,3,1,3,2,0,1,13,3
40,0,1,1,1,1,0,1,1,6,4
28,0,3,3,3,3,2,2,1,17,1
18,1,3,3,2,1,2,0,1,12,3
52,1,1,3,1,1,2,0,0,8,3
42,0,3,1,3,3,1,0,3,14,3
64,0,3,3,3,3,2,0,1,15,4
26,0,3,2,2,1,2,3,3,16,4
28,0,3,3,2,3,2,0,0,13,3
53,0,1,0,0,1,1,0,0,3,3
23,1,2,1,2,2,2,0,0,9,8
59,0,2,1,1,3,1,0,1,9,4
41,1,2,3,2,2,2,2,0,13,4
49,0,2,3,3,0,2,2,2,14,4
35,1,2,3,1,1,1,0,3,11,4
27,1,3,2,3,3,1,3,0,15,3
52,0,1,1,1,1,1,0,1,6,4
44,1,3,3,2,3,1,0,2,14,1
35,0,3,2,3,3,1,0,1,13,4
33,1,3,3,3,3,1,3,0,16,3
60,1,1,1,0,0,1,0,2,5,3
43,0,3,3,0,3,2,0,2,13,8
28,0,3,3,3,3,3,3,3,21,3
36,0,3,2,2,3,2,3,0,15,1
26,0,2,3,2,3,2,3,1,16,3
29,0,0,1,0,0,0,0,1,2,4
42,0,3,3,1,3,1,0,2,13,1
44,0,3,0,3,3,2,3,2,16,4
32,1,2,3,0,1,1,0,0,7,3
28,0,1,1,1,2,1,0,1,7,3
48,0,3,3,3,3,2,3,0,17,4
35,1,3,3,3,3,1,0,3,16,6
25,1,2,3,2,2,3,3,1,16,6
36,0,2,3,3,3,2,3,0,16,7
35,0,2,1,2,3,2,3,2,15,3
44,0,3,3,3,3,3,3,1,19,4
54,1,2,3,3,3,1,0,0,12,8
47,0,1,2,1,1,1,2,1,9,3
61,0,1,0,1,1,1,0,0,4,5
53,0,2,2,3,3,2,0,2,14,4
20,1,2,2,1,2,3,0,1,11,3
40,1,1,0,0,0,1,0,0,2,6
70,0,2,3,2,3,1,2,1,14,3
41,1,2,3,2,2,1,0,0,10,3
25,0,2,3,3,3,2,0,2,15,8
20,1,1,1,1,1,2,0,1,7,3
59,0,2,3,3,3,2,0,2,15,8
43,0,2,2,1,1,1,2,2,11,1
45,1,3,3,2,2,1,3,1,15,4
27,0,1,3,1,1,1,3,1,11,7
54,0,3,3,3,3,1,0,2,15,8
23,0,3,3,3,2,3,3,0,17,4
35,0,1,3,2,3,1,0,0,10,3
61,0,2,3,1,2,2,0,3,13,8
23,1,3,3,3,3,3,3,3,21,6
17,0,2,3,2,0,1,0,1,9,3
43,0,1,1,1,1,2,0,0,6,1
51,1,2,3,3,3,2,0,0,13,4
31,1,3,2,2,1,2,0,1,11,8
26,1,2,3,3,3,1,3,0,15,8
29,0,3,3,3,0,3,3,1,16,8
29,0,2,3,3,3,3,3,1,18,3
43,0,2,3,1,1,2,0,2,11,8
52,0,3,1,0,0,2,0,1,7,8
26,0,3,3,3,3,2,0,1,15,3
46,1,2,2,2,1,3,0,3,13,8
30,0,2,3,2,2,3,0,2,14,3
17,1,3,3,3,3,3,0,0,15,3
74,0,2,2,1,2,2,0,3,12,4
57,0,3,3,3,3,2,0,1,15,6
45,0,2,1,3,3,1,0,1,11,1
40,0,3,3,3,1,2,0,1,13,4
62,1,1,1,1,1,1,0,0,5,4
57,0,2,1,3,3,1,0,1,11,8
46,1,2,2,0,3,3,0,3,13,1
47,1,1,3,3,3,2,0,1,13,3
60,1,2,2,3,3,1,0,2,13,6
56,0,3,2,3,3,3,3,3,20,4
17,0,0,3,2,0,2,0,2,9,3
58,1,0,1,1,1,1,1,1,6,4
52,0,3,3,3,3,2,0,1,15,1
33,0,2,2,3,2,1,3,0,13,3
29,0,2,3,1,2,3,2,2,15,6
29,1,2,2,3,2,3,3,2,17,9
33,0,2,1,1,1,1,0,1,7,9
43,0,1,2,2,3,1,0,0,9,1
39,1,2,2,2,0,1,1,1,9,3
29,0,2,2,2,2,2,0,1,11,3
52,0,2,2,1,2,1,3,1,12,4
34,0,2,3,2,2,1,3,0,13,3
51,0,2,3,2,2,3,0,2,14,1
28,0,1,1,1,1,1,0,1,6,3
66,1,1,1,1,0,1,0,0,4,4
34,0,1,1,0,2,1,3,2,10,3
27,1,1,3,2,1,1,0,1,9,3
28,1,2,0,3,3,2,0,0,10,3
20,1,1,2,0,1,1,0,0,5,3
23,1,3,3,3,3,2,3,0,17,8
21,0,3,2,1,2,1,1,0,10,10
56,0,3,3,3,3,3,0,0,15,4
51,1,2,3,2,3,2,3,0,15,1
57,0,3,3,3,3,2,3,2,19,4
26,1,3,0,3,3,2,3,0,14,1
35,0,3,3,2,2,2,1,2,15,1
45,1,2,3,3,3,2,3,1,17,7
31,0,3,3,3,3,2,0,2,16,4
61,1,1,1,1,0,2,0,2,7,3
17,0,2,3,0,3,1,0,2,11,8
42,0,3,3,3,3,2,0,2,16,5
29,1,1,1,1,0,1,0,1,5,3
22,0,3,2,3,3,3,0,2,16,3
25,0,2,2,3,3,1,3,1,15,3
21,1,3,3,3,3,1,3,0,16,3
53,1,3,3,2,3,3,0,2,16,5
27,1,1,1,1,0,1,0,1,5,7
59,0,3,2,3,3,2,0,1,14,4
17,0,1,3,1,3,1,0,2,11,8
51,0,2,2,2,3,1,0,0,10,4
61,0,2,1,2,2,1,2,1,11,4
35,0,3,2,3,3,3,0,1,15,1
39,0,3,3,3,3,2,0,2,16,3
27,1,2,1,2,3,1,0,1,10,3
45,1,2,2,0,0,2,3,2,11,4
36,0,2,2,1,3,1,0,0,9,4
39,0,3,3,3,3,2,3,1,18,8
47,0,3,3,3,2,2,0,2,15,4
61,0,2,2,2,3,2,0,1,12,4
56,0,2,2,1,2,2,0,1,10,3
44,1,2,3,2,1,3,3,2,16,3
53,0,2,1,1,1,2,0,1,8,1
29,1,1,1,1,1,1,0,1,6,4
68,0,3,3,3,2,2,1,3,17,1
54,1,1,2,2,1,1,0,0,7,4
46,0,1,1,2,0,1,0,1,6,3
25,0,2,1,2,3,1,0,1,10,7
34,0,2,1,2,2,1,0,0,8,3
35,0,3,3,3,3,1,1,0,14,8
35,0,1,2,2,2,2,0,0,9,1
26,1,3,3,2,2,1,3,2,16,3
47,1,2,2,3,3,2,0,0,12,1
37,0,1,2,1,1,2,0,2,9,4
65,0,3,3,2,3,3,0,1,15,6
44,1,3,3,3,3,1,0,0,13,3
24,0,3,3,3,3,2,3,1,18,3
39,0,3,3,3,3,2,1,1,16,4
65,0,3,2,3,3,1,3,1,16,1
49,0,1,0,0,0,0,0,1,2,4
29,0,1,1,0,1,2,3,0,8,3
47,0,2,3,3,2,2,0,0,12,3
40,0,2,2,2,1,2,0,2,11,4
46,0,3,2,3,3,2,0,0,13,3
34,0,1,1,1,2,1,0,1,7,4
37,0,3,3,3,3,1,0,1,14,1
47,0,3,3,3,3,2,0,1,15,4
